"y","NAO","EA","WP","EP_NP","PNA","EA_WR","SCA","POL","ENSO_MEI","AO","AMO","PDO"
"0",-1.33,0.06,0.91,0.72,0.09,-0.82,-0.35,0.16,0.494,-0.891,0.285,1.46
"1",0.36,-0.39,-1.64,-0.07,0.61,0.09,1.22,-0.06,0.917,-0.229,0.138,0.6
"0",1.95,-0.54,-1,-1.43,0.5,0.98,-0.44,1.2,1.122,1.1,-0.136,1.85
"0",-0.52,-0.85,1.18,0.07,-0.42,2.95,-0.61,0.64,0.536,-0.153,-0.087,-0.66
"0",0.36,0.75,2.59,0.83,-1.38,0.79,0.5,1.15,0.734,0.828,-0.207,-0.79
"0",-0.29,-0.44,0.04,1.59,0.66,0.87,-0.48,-1.77,1.459,-0.52,-0.16,2.34
"0",1.73,-0.14,0.15,1.1,-0.35,-0.8,1.12,-1.24,-0.427,-0.293,-0.153,-1.24
"1",-0.31,0.07,0.02,-0.67,1.96,-1.7,-0.13,1.67,-0.464,-0.0337,0.088,0.5
"0",-0.43,-1.36,-0.45,-1.21,0.6,-0.51,0.5,0.53,-0.854,-0.614,-0.374,-1.02
"0",0.64,0.44,-1.19,-0.73,-0.08,1.26,1.01,1.5,-0.725,0.42,-0.251,-0.35
"0",-1.11,0.12,2.46,1.7,-2.43,0.38,0.99,-0.68,-0.401,-0.604,-0.261,-1.24
"0",0.38,-0.27,1.12,0.32,1.95,1.17,-0.39,0.29,-0.796,-0.672,0.339,-0.96
"1",-1.37,-1.27,0.17,0.21,0.27,2.25,0.74,2.23,0.593,0.943,-0.039,0.44
"0",0.38,-0.27,1.12,0.32,1.95,1.17,-0.39,0.29,-0.796,-0.672,0.339,-0.96
"0",1.46,0.05,-1.15,-0.81,-0.28,0.43,-0.28,0.82,1.012,0.797,-0.086,0.36
"0",0.64,-0.01,-0.15,-1.16,0.61,-1.03,0.85,-2.31,0.085,-0.846,0.158,1.2
"2",0.65,0.67,-1.06,-0.69,0.4,-0.65,0.2,0.37,0.581,0.328,-0.034,-0.31
"0",0.97,1.74,1.19,0.43,-0.37,0.99,-1.24,0.79,0.527,0.535,-0.359,1.44
"0",-0.95,-0.96,0.96,1.74,-1.01,-0.08,0.39,-1.98,0.63,-0.625,-0.062,-1.03
"1",0.36,-0.39,-1.64,-0.07,0.61,0.09,1.22,-0.06,0.917,-0.229,0.138,0.6
"0",-1.53,0.95,1.73,-1.09,0.56,-0.96,0.32,0.89,1.904,-0.71,0.216,0.73
"1",0.24,1.31,0.76,0.17,-0.53,1.79,-0.77,-0.4,0.026,-0.102,0.235,0.68
"0",-0.95,-0.96,0.96,1.74,-1.01,-0.08,0.39,-1.98,0.63,-0.625,-0.062,-1.03
"0",1.57,-1.13,1.59,0.6,-1.53,0.45,-0.13,0.23,-1.473,0.345,-0.258,-0.4
"0",0.84,1.4,0.28,-1.17,-0.03,0.72,0.14,-0.86,0.305,0.367,-0.209,1.16
"2",0.15,-0.71,-0.04,-0.35,-0.35,0.87,-1.95,-0.31,0.387,-0.0083,-0.222,1.38
"1",-0.55,-0.03,-0.09,0.49,1.65,-0.3,-0.2,-0.62,-0.322,-0.397,0.163,0.78
"3",0.03,0.33,-1.16,-1.42,-0.01,1.48,-0.73,-0.12,0.185,0.452,0.01,-0.3
"1",0.08,0.83,0.82,-0.94,-1.02,-1.08,0.7,0.52,-0.039,0.561,-0.073,0.84
"0",-3.01,-0.68,-1.39,-0.15,-2.03,1.18,-1.35,0.19,0.332,-0.185,0.04,0.51
"0",-0.05,-1.89,-1.67,0.34,1.03,1.03,0.99,-1.09,0.068,-0.745,0.023,-0.62
"0",-2.39,-0.14,-0.34,0.63,1.26,1.87,0.23,0.79,0.166,-0.945,-0.032,-0.35
"0",2.05,-0.62,2.03,0.57,-0.95,-1.84,0.94,-0.23,-0.468,0.771,-0.073,-0.65
"0",0.51,-0.31,-0.17,-0.14,1.36,1.55,2.34,1.64,1.714,-0.302,-0.132,1.26
"0",-0.28,-0.72,1.44,0.26,-0.25,-0.38,0.41,1.04,-0.284,0.157,0.205,-0.06
"0",-0.74,-0.76,1.99,-1.71,-1.1,0.85,0.77,0.96,0.462,-0.303,-0.024,-1
"0",0.55,-2.42,0.6,0.94,-0.43,-0.71,-0.97,0.59,1.844,-0.466,0.301,2.01
"0",1.19,-1.71,-0.25,-0.93,1.31,-1.14,1.93,-0.6,-0.71,0.0605,0.19,0.74
"0",0.96,-0.9,1.77,-0.26,-1.02,-0.18,-1.4,-0.45,2.122,0.325,0.075,1.85
"0",1.84,0.74,0.48,-0.14,-1.36,-0.15,-1.54,-0.64,0.734,1.61,-0.201,0.46
"0",0.6,-0.58,0.42,-1.27,-0.26,1.35,1.86,-1.37,-1.069,0.27,-0.09,-0.57
"0",-0.2,-0.46,0.06,-0.1,-0.95,1.67,-0.95,-0.22,-1.377,0.313,-0.12,-1.14
"0",0.55,-2.42,0.6,0.94,-0.43,-0.71,-0.97,0.59,1.844,-0.466,0.301,2.01
"0",-0.39,0.09,0.36,-0.35,-0.81,0.45,0.63,-0.66,0.781,-0.622,0.067,0.23
"0",-0.48,0.79,1.08,-0.76,0.48,0.82,0.52,0.96,0.521,-0.115,-0.186,1.23
"0",-1.19,-1.26,-0.49,0.97,0.74,-0.98,-1.65,-0.09,1.942,-0.836,0.303,2.83
"0",0.51,-0.43,0.76,-1.14,1.09,0.72,1.34,1.16,-1.462,0.679,-0.314,-1.55
"2",-1,-0.27,1.07,-1.26,-2.55,-1.64,1.46,-0.25,-0.211,-0.649,0.098,-0.66
"0",-0.52,-1.45,0.63,1.02,-0.92,-1.17,-0.71,-0.89,1.163,-0.115,-0.117,-1.47
"2",-0.5,-0.21,-0.86,0.63,-0.51,1.17,-0.11,-0.22,-0.149,0.144,0.128,-1.19
"0",-1.17,-1.25,1.88,-1.36,-1.87,-0.6,0.25,1.49,2.169,0.429,0.396,0.7
"0",0.36,0.75,2.59,0.83,-1.38,0.79,0.5,1.15,0.734,0.828,-0.207,-0.79
"0",-0.74,0.05,-0.03,0.07,1.52,-1.22,0.55,1.48,0.666,-0.72,0.345,0.85
"0",2.34,-3.33,1.22,0.23,-0.62,-1,1.53,0.53,0.663,0.559,-0.171,1.28
"0",0.24,0.09,0.16,0.48,1.83,0.07,1.42,1.3,0.119,0.18,-0.062,1.75
"0",0.7,-1.39,0.66,0.77,0.02,1.73,0.94,-1.68,-0.182,-0.354,-0.211,-0.56
"1",0.13,-0.46,1,-1.42,0.74,1.15,-1.24,0.05,-1.158,0.139,-0.188,-0.68
"0",1.95,-0.54,-1,-1.43,0.5,0.98,-0.44,1.2,1.122,1.1,-0.136,1.85
"0",0.17,0.09,-0.13,-2.29,-1.36,1.81,1.41,-0.91,-0.641,-0.0475,-0.434,-0.31
"0",-0.11,-0.57,2.52,1.32,-0.27,0.05,0.21,0.31,-0.497,0.551,0.135,0.09
"0",0.21,-0.97,-0.32,2.2,-1.13,-0.16,2.13,-0.03,1.911,-0.553,-0.362,-0.83
"0",1.44,0.13,0.32,-1.44,0.43,-0.74,0.49,0.8,-0.42,0.707,0.214,-1.3
"0",0.9,0.41,-0.3,-0.69,-0.05,1.66,-1.28,-1.6,-0.681,0.226,0.188,-0.68
"0",-0.39,0.09,0.36,-0.35,-0.81,0.45,0.63,-0.66,0.781,-0.622,0.067,0.23
"0",0.9,0.41,-0.3,-0.69,-0.05,1.66,-1.28,-1.6,-0.681,0.226,0.188,-0.68
